J9,42.7,22 K2 Q8 Q4s J9 J8s T9s
Q3s,43,22 K2 Q8 Q3s J9 J8s T9s
T8s,43.3,22 K2 Q8 Q3s J9 T8s
J7s,43.6,22 K2 Q8 Q3s J9 J7s T8s
Q7,44.5,22 K2 Q7 Q3s J9 J7s T8s
Q2s,44.8,22 K2 Q7 Q2s J9 J7s T8s
Q6,45.7,22 K2 Q6 Q2s J9 J7s T8s
98s,46,22 K2 Q6 Q2s J9 J7s 98s
Q5,46.9,22 K2 Q5 Q2s J9 J7s 98s
J8,47.8,22 K2 Q5 Q2s J8 J7s 98s
T9,48.7,22 K2 Q5 Q2s J8 J7s T9 98s
J6s,49,22 K2 Q5 Q2s J8 J6s T9 98s
T7s,49.3,22 K2 Q5 Q2s J8 J6s T9 T7s 98s
J5s,49.6,22 K2 Q5 Q2s J8 J5s T9 T7s 98s
Q4,50.5,22 K2 Q4 Q2s J8 J5s T9 T7s 98s
J4s,50.8,22 K2 Q4 Q2s J8 J4s T9 T7s 98s
J7,51.7,22 K2 Q4 Q2s J7 J4s T9 T7s 98s
Q3,52.6,22 K2 Q3 Q2s J7 J4s T9 T7s 98s
97s,52.9,22 K2 Q3 Q2s J7 J4s T9 97s
T8,53.8,22 K2 Q3 Q2s J7 J4s T8 97s
J3s,54.1,22 K2 Q3 Q2s J7 J3s T8 97s
T6s,54.4,22 K2 Q3 Q2s J7 J3s T8 T6s 97s
Q2,55.4,22 Q2 J7 J3s T8 T6s 97s
J2s,55.7,22 Q2 J7 J2s T8 T6s 97s
87s,56,22 Q2 J7 J2s T8 T6s 87s
J6,56.9,22 Q2 J6 J2s T8 T6s 87s
98,57.8,22 Q2 J6 J2s T6s 98 87s
T7,58.7,22 Q2 J6 J2s T7 T6s 98 87s
96s,59,22 Q2 J6 J2s T7 98 96s 87s
J5,59.9,22 Q2 J5 J2s T7 98 96s 87s
T5s,60.2,22 Q2 J5 J2s T7 T5s 98 96s 87s
T4s,60.5,22 Q2 J5 J2s T7 T4s 98 96s 87s
86s,60.8,22 Q2 J5 J2s T7 T4s 98 86s
J4,61.7,22 Q2 J4 J2s T7 T4s 98 86s
T6,62.6,22 Q2 J4 J2s T6 T4s 98 86s
97,63.5,22 Q2 J4 J2s T6 T4s 97 86s
T3s,63.8,22 Q2 J4 J2s T6 T3s 97 86s
76s,64.1,22 Q2 J4 J2s T6 T3s 97 76s
95s,64.4,22 Q2 J4 J2s T6 T3s 97 95s 76s
J3,65.3,22 Q2 J3 J2s T6 T3s 97 95s 76s
T2s,65.6,22 Q2 J3 T6 T2s 97 95s 76s
87,66.5,22 Q2 J3 T6 T2s 95s 87 76s
85s,66.8,22 Q2 J3 T6 T2s 87 85s 76s
96,67.7,22 Q2 J3 T2s 96 87 85s 76s
T5,68.6,22 Q2 J3 T5 T2s 96 87 85s 76s
J2,69.5,22 J2 T5 T2s 96 87 85s 76s
75s,69.8,22 J2 T5 T2s 96 87 75s
94s,70.1,22 J2 T5 T2s 96 94s 87 75s
T4,71,22 J2 T4 T2s 96 94s 87 75s
65s,71.3,22 J2 T4 T2s 96 94s 87 65s
86,72.2,22 J2 T4 T2s 94s 86 65s
93s,72.5,22 J2 T4 T2s 93s 86 65s
84s,72.9,22 J2 T4 T2s 93s 86 84s 65s
95,73.8,22 J2 T4 T2s 95 93s 86 84s 65s
T3,74.7,22 J2 T3 T2s 95 93s 86 84s 65s
76,75.6,22 J2 T3 T2s 95 93s 84s 76 65s
92s,75.9,22 J2 T3 95 92s 84s 76 65s
74s,76.2,22 J2 T3 95 92s 76 74s 65s
54s,76.5,22 J2 T3 95 92s 76 74s 65s 54s
T2,77.4,22 T2 95 92s 76 74s 65s 54s
85,78.3,22 T2 92s 85 76 74s 65s 54s
64s,78.6,22 T2 92s 85 76 54s
83s,78.9,22 T2 92s 85 83s 76 54s
94,79.8,22 T2 94 92s 85 83s 76 54s
75,80.7,22 T2 94 92s 83s 75 54s
82s,81,22 T2 94 82s 75 54s
73s,81.3,22 T2 94 82s 75 73s 54s
93,82.2,22 T2 93 82s 75 73s 54s
65,83.1,22 T2 93 82s 73s 65 54s
53s,83.4,22 T2 93 82s 73s 65 64s 53s
63s,83.7,22 T2 93 82s 65 53s
84,84.6,22 T2 93 84 82s 65 53s
92,85.5,22 92 84 82s 65 53s
43s,85.8,22 92 84 82s 65 43s
74,86.7,22 92 82s 74 65 43s
72s,87,22 92 74 72s 65 43s
54,87.9,22 92 74 72s 65 54 43s
64,88.8,22 92 72s 54 43s
52s,89.1,22 92 72s 63s 54 52s 43s
62s,89.4,22 92 54 52s 43s
83,90.3,22 92 83 54 52s 43s
42s,90.6,22 92 83 54 42s
82,91.6,22 82 54 42s
73,92.5,22 82 73 54 42s
53,93.4,22 82 73 64 53 42s
63,94.3,22 82 53 42s
32s,94.6,22 82 53 32s
43,95.5,22 82 43 32s
72,96.4,22 72 43 32s
52,97.3,22 72 63 52 43 32s
62,98.2,22 52 43 32s
42,99.1,22 42 32s
32,100,22 32 32s
